price,ticketType,age,discount,date,departure,destination,duration,startTime,arrivalTime
"119,55",Flexpreis,Y,1,"So.,20.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,9h 58min,22:38,08:36,3
"137,25",Flexpreis Plus,Y,1,"So.,20.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,9h 58min,22:38,08:36,3
"21,65",Super Sparpreis Young,Y,1,"So.,20.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,9h 09min,00:27,09:36,3
"26,15",Sparpreis Young,Y,1,"So.,20.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,9h 09min,00:27,09:36,3
"106,65",Flexpreis,Y,1,"So.,20.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,9h 09min,00:27,09:36,3
"122,85",Flexpreis Plus,Y,1,"So.,20.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,9h 09min,00:27,09:36,3
"21,65",Super Sparpreis Young,Y,1,"So.,20.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,10h 09min,00:27,10:36,2
"26,15",Sparpreis Young,Y,1,"So.,20.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,10h 09min,00:27,10:36,2
"106,65",Flexpreis,Y,1,"So.,20.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,10h 09min,00:27,10:36,2
"122,85",Flexpreis Plus,Y,1,"So.,20.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,10h 09min,00:27,10:36,2
"21,65",Super Sparpreis Young,Y,1,"So.,20.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,9h 58min,22:38,08:36,3
"26,15",Sparpreis Young,Y,1,"So.,20.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,9h 58min,22:38,08:36,3
"119,55",Flexpreis,Y,1,"So.,20.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,9h 58min,22:38,08:36,3
"137,25",Flexpreis Plus,Y,1,"So.,20.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,9h 58min,22:38,08:36,3
"21,65",Super Sparpreis Young,Y,1,"So.,20.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,9h 09min,00:27,09:36,3
"26,15",Sparpreis Young,Y,1,"So.,20.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,9h 09min,00:27,09:36,3
"106,65",Flexpreis,Y,1,"So.,20.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,9h 09min,00:27,09:36,3
"122,85",Flexpreis Plus,Y,1,"So.,20.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,9h 09min,00:27,09:36,3
"21,65",Super Sparpreis Young,Y,1,"So.,20.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,10h 09min,00:27,10:36,2
"26,15",Sparpreis Young,Y,1,"So.,20.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,10h 09min,00:27,10:36,2
"106,65",Flexpreis,Y,1,"So.,20.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,10h 09min,00:27,10:36,2
"122,85",Flexpreis Plus,Y,1,"So.,20.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,10h 09min,00:27,10:36,2
"21,65",Super Sparpreis Young,Y,1,"So.,20.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,9h 09min,00:27,09:36,3
"26,15",Sparpreis Young,Y,1,"So.,20.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,9h 09min,00:27,09:36,3
"106,65",Flexpreis,Y,1,"So.,20.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,9h 09min,00:27,09:36,3
"122,85",Flexpreis Plus,Y,1,"So.,20.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,9h 09min,00:27,09:36,3
"21,65",Super Sparpreis Young,Y,1,"So.,20.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,10h 09min,00:27,10:36,2
"26,15",Sparpreis Young,Y,1,"So.,20.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,10h 09min,00:27,10:36,2
"106,65",Flexpreis,Y,1,"So.,20.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,10h 09min,00:27,10:36,2
"122,85",Flexpreis Plus,Y,1,"So.,20.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,10h 09min,00:27,10:36,2
"21,65",Super Sparpreis Young,Y,1,"So.,20.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 08min,05:28,12:36,1
"26,15",Sparpreis Young,Y,1,"So.,20.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 08min,05:28,12:36,1
"106,65",Flexpreis,Y,1,"So.,20.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 08min,05:28,12:36,1
"122,85",Flexpreis Plus,Y,1,"So.,20.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 08min,05:28,12:36,1
"21,65",Super Sparpreis Young,Y,1,"So.,20.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 02min,05:34,11:36,2
"26,15",Sparpreis Young,Y,1,"So.,20.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 02min,05:34,11:36,2
"105,15",Flexpreis,Y,1,"So.,20.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 02min,05:34,11:36,2
"121,10",Flexpreis Plus,Y,1,"So.,20.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 02min,05:34,11:36,2
"21,65",Super Sparpreis Young,Y,1,"So.,20.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,9h 09min,00:27,09:36,3
"26,15",Sparpreis Young,Y,1,"So.,20.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,9h 09min,00:27,09:36,3
"106,65",Flexpreis,Y,1,"So.,20.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,9h 09min,00:27,09:36,3
"122,85",Flexpreis Plus,Y,1,"So.,20.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,9h 09min,00:27,09:36,3
"21,65",Super Sparpreis Young,Y,1,"So.,20.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,10h 09min,00:27,10:36,2
"26,15",Sparpreis Young,Y,1,"So.,20.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,10h 09min,00:27,10:36,2
"106,65",Flexpreis,Y,1,"So.,20.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,10h 09min,00:27,10:36,2
"122,85",Flexpreis Plus,Y,1,"So.,20.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,10h 09min,00:27,10:36,2
"21,65",Super Sparpreis Young,Y,1,"So.,20.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 08min,05:28,12:36,1
"26,15",Sparpreis Young,Y,1,"So.,20.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 08min,05:28,12:36,1
"106,65",Flexpreis,Y,1,"So.,20.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 08min,05:28,12:36,1
"122,85",Flexpreis Plus,Y,1,"So.,20.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,7h 08min,05:28,12:36,1
"21,65",Super Sparpreis Young,Y,1,"So.,20.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 02min,05:34,11:36,2
"26,15",Sparpreis Young,Y,1,"So.,20.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 02min,05:34,11:36,2
"105,15",Flexpreis,Y,1,"So.,20.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 02min,05:34,11:36,2
"121,10",Flexpreis Plus,Y,1,"So.,20.11.2022",Berlin+Hbf,Biberach%28Ri%C3%9F%29,6h 02min,05:34,11:36,2
